"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Brood Year YYYY","Rear Type Code","Rear Type Name","First Obs Date Max","Last Obs Date Min"
"3DD.003E11B318","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B31A","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B31B","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B323","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B324","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B328","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B32B","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B32D","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B32F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B341","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B343","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B349","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B34E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B34F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B351","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B359","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B35D","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/20/2022","04/20/2022"
"3DD.003E11B35F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B367","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B36F","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B370","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B371","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B375","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/18/2022","04/18/2022"
